causative_agent,date_of_outbreak
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
NA,2020_begin
